Location,Binge drinking prevalence,Cost per person,Total cost,Productivity loss costs,Other societal costs,Health care costs
Minnesota,20.7,1383,7851447000,5592691000,1343583000,915173000
Aitkin,21.7,1207,19180000,11179000,2686000,5315000
Anoka,21.3,1423,508015000,358874000,86216000,62925000
Becker,22.8,1329,45755000,32264000,7751000,5740000
Beltrami,21.6,1346,63509000,43494000,10449000,9566000
Benton,23.6,1407,57521000,40894000,9824000,6803000
Big Stone,23.3,144,718000,236000,57000,425000
Blue Earth,23.7,1436,97153000,71478000,17172000,8503000
Brown,25.0,1357,33931000,24616000,5914000,3401000
Carlton,24.5,1508,54103000,36767000,8833000,8503000
Carver,23.7,1460,153482000,113982000,27383000,12117000
Cass,22.2,1375,40954000,26336000,6327000,8291000
Chippewa,23.6,913,10779000,8006000,1923000,850000
Chisago,26.9,1628,92104000,67578000,16235000,8291000
Clay,23.4,1410,90539000,66659000,16014000,7866000
Clearwater,22.7,671,5914000,4254000,1022000,638000
Cook,22.6,365,1994000,579000,139000,1276000
Cottonwood,21.3,788,8828000,6089000,1463000,1276000
Crow Wing,23.0,1445,93977000,66346000,15939000,11692000
Dakota,22.1,1439,617529000,448889000,107841000,60799000
Dodge,22.9,1166,24418000,17631000,4236000,2551000
Douglas,25.0,1552,59178000,40345000,9692000,9141000
Faribault,23.7,1048,14309000,10166000,2442000,1701000
Fillmore,23.6,1189,25049000,18483000,4440000,2126000
Freeborn,22.5,1294,39180000,27305000,6560000,5315000
Goodhue,24.0,1467,67966000,47945000,11518000,8503000
Grant,24.0,638,3812000,1531000,368000,1913000
Hennepin,22.2,1500,1898624000,1340936000,322145000,235543000
Houston,25.0,1221,22712000,16941000,4070000,1701000
Hubbard,23.2,1189,25558000,18550000,4457000,2551000
Isanti,24.2,1432,58132000,41729000,10025000,6378000
Itasca,23.6,1623,73247000,45689000,10976000,16582000
Jackson,24.2,917,9028000,6079000,1461000,1488000
Kanabec,23.2,1025,16752000,12822000,3080000,850000
Kandiyohi,21.5,1277,55158000,39160000,9408000,659000
Kittson,23.7,1606,6902000,4880000,1172000,850000
Koochiching,23.3,948,11589000,8315000,1998000,1276000
Lac qui Parle,23.2,540,3576000,2026000,487000,1063000
Lake,23.1,950,10113000,6440000,1547000,2126000
Lake of the Woods,23.5,1624,6073000,4211000,1012000,850000
Le Sueur,23.2,1230,35540000,26771000,6431000,2338000
Lincoln,23.3,286,1614000,959000,230000,425000
Lyon,21.4,1095,27899000,20781000,4992000,2126000
Mahnomen,21.2,332,1833000,278000,67000,1488000
Marshall,23.5,733,6843000,5175000,1243000,425000
Martin,22.0,1111,21875000,15409000,3702000,2764000
McLeod,22.4,1277,45831000,33182000,7972000,4677000
Meeker,24.2,1336,31025000,21587000,5186000,4252000
Mille Lacs,21.5,1293,33965000,21730000,5220000,7015000
Morrison,25.4,1426,47595000,35290000,8478000,3827000
Mower,21.6,1288,51601000,36120000,8678000,6803000
Murray,23.3,629,5152000,3811000,916000,425000
Nicollet,23.3,1284,44020000,32922000,7909000,3189000
Nobles,19.9,935,20232000,15284000,3672000,1276000
Norman,23.5,425,2709000,1842000,442000,425000
Olmsted,20.6,1325,209664000,150882000,36248000,22534000
Otter Tail,24.2,1477,86781000,62772000,15080000,8929000
Pennington,24.4,1147,16190000,11169000,2683000,2338000
Pine,23.5,1367,40423000,27965000,6718000,5740000
Pipestone,22.1,635,5791000,4327000,1039000,425000
Polk,24.5,1482,46479000,31477000,7562000,7440000
Pope,24.3,988,11112000,7760000,1864000,1488000
Ramsey,18.8,1245,685273000,490313000,117792000,77168000
Red Lake,23.0,1681,6817000,4468000,1073000,1276000
Redwood,23.3,1004,15234000,11598000,2786000,850000
Renville,23.3,1105,16073000,10903000,2619000,2551000
Rice,22.8,1364,91337000,67817000,16292000,7228000
Rock,23.5,823,7665000,5151000,1238000,1276000
Roseau,25.7,1301,19729000,13336000,3204000,3189000
Scott,23.0,1429,212963000,158856000,38163000,15944000
Sherburne,23.1,1451,141086000,102273000,24570000,14243000
Sibley,23.9,1147,17043000,11685000,2807000,2551000
St. Louis,22.1,1591,316643000,205429000,49352000,61862000
Stearns,25.6,1633,263046000,192210000,46176000,24660000
Steele,23.7,1425,52219000,36276000,8715000,7228000
Stevens,23.2,747,7323000,5562000,1336000,425000
Swift,23.6,1009,9352000,5141000,1235000,2976000
Todd,22.7,1253,30900000,21486000,5162000,4252000
Traverse,22.8,1550,5053000,3560000,855000,638000
Wabasha,25.4,1410,30485000,20981000,5040000,4464000
Wadena,22.7,1020,13962000,9543000,2293000,2126000
Waseca,23.4,1138,21173000,15529000,3731000,1913000
Washington,24.6,1534,402699000,303954000,73022000,25723000
Watonwan,20.7,740,8061000,5471000,1314000,1276000
Wilkin,24.3,515,3194000,1890000,454000,850000
Winona,24.0,1446,73025000,52709000,12663000,7653000
Wright,23.0,1437,198854000,147137000,35348000,16369000
Yellow Medicine,23.2,850,8254000,5455000,1311000,1488000
