AGENCY,COUNTY,ORI
ADA PD,NORMAN,MN0540100
SHERIFF'S OFFICE,NORMAN,MN0540000
ADRIAN PD,NOBLES,MN0530200
AITKIN PD,AITKIN,MN0010100
SHERIFF'S OFFICE,AITKIN,MN0010000
AKELEY PD,HUBBARD,MN0290200
ALBERT LEA PD,FREEBORN,MN0240100
SHERIFF'S OFFICE,FREEBORN,MN0240000
ALBERTA PD,STEVENS,MN0750200
ALDEN PD,FREEBORN,MN0240200
ALEXANDRIA PD,DOUGLAS,MN0210100
SHERIFF'S OFFICE,DOUGLAS,MN0210000
AMBOY PD,BLUE EARTH,MN0070300
ANDOVER PD,ANOKA,MN0021200
ANNANDALE PD,WRIGHT,MN0860600
ANOKA PD,ANOKA,MN0020100
ANDOVER PD,ANOKA,MN0021200
HAM LAKE PD,ANOKA,MN0021000
RAMSEY PD,ANOKA,MN0021300
SHERIFF'S OFFICE,ANOKA,MN0020000
APPLE VALLEY PD,DAKOTA,MN0191000
APPLETON PD,SWIFT,MN0760100
ARDEN HILLS PD,RAMSEY,MN0620100
ARLINGTON PD,SIBLEY,MN0720100
ASHBY PD,GRANT,MN0260200
ATWATER PD,KANDIYOHI,MN0340200
AUDUBON PD,BECKER,MN0030300
AURORA PD,ST. LOUIS,MN0690100
AUSTIN PD,MOWER,MN0500100
SHERIFF'S OFFICE,MOWER,MN0500000
AVOCA PD,MURRAY,MN0510300
BABBITT PD,ST. LOUIS,MN0690200
BADGER PD,ROSEAU,MN0680300
BAGLEY PD,CLEARWATER,MN0150100
SHERIFF'S OFFICE,CLEARWATER,MN0150000
BARNESVILLE PD,CLAY,MN0140100
BARRETT PD,GRANT,MN0260300
BATTLE LAKE PD,OTTER TAIL,MN0560400
BAUDETTE PD,LAKE OF THE WOODS,MN0390100
SHERIFF'S OFFICE,LAKE OF THE WOODS,MN0390000
BAXTER PD,CROW WING,MN0180500
BAYPORT PD,WASHINGTON,MN0820100
BEARDSLEY PD,BIG STONE,MN0060200
BEAVER CREEK PD,ROCK,MN0670200
BECHYN PD,RENVILLE,MN0651100
BELGRADE PD,STEARNS,MN0730800
BELLE PLAINE PD,SCOTT,MN0700100
BELLINGHAM PD,LAC QUI PARLE,MN0370300
BEMIDJI PD,BELTRAMI,MN0040100
SHERIFF'S OFFICE,BELTRAMI,MN0040000
BENSON PD,SWIFT,MN0760200
SHERIFF'S OFFICE,SWIFT,MN0760000
BERTHA PD,TODD,MN0770300
BIG FALLS PD,KOOCHICHING,MN0360200
BIG LAKE PD,SHERBURNE,MN0710100
BIGFORK PD,ITASCA,MN0310600
BIRD ISLAND PD,RENVILLE,MN0650500
BIWABIK PD,ST. LOUIS,MN0690300
BLACKDUCK PD,BELTRAMI,MN0040200
BLAINE PD,ANOKA,MN0020200
BLOOMING PRAIRIE PD,STEELE,MN0740200
BLOOMINGTON PD,HENNEPIN,MN0270100
BLUE EARTH PD,FARIBAULT,MN0220100
SHERIFF'S OFFICE,FARIBAULT,MN0220000
BLUFFTON PD,OTTER TAIL,MN0560500
BOVEY PD,ITASCA,MN0310100
BRAHAM PD,ISANTI,MN0300200
BRAINERD PD,CROW WING,MN0180100
BREEZY POINT PD,CROW WING,MN0180300
SHERIFF'S OFFICE,CROW WING,MN0180000
HIGHWAY PATROL,N/A,MNMHP0700
BRANDON PD,DOUGLAS,MN0210300
BRECKENRIDGE PD,WILKIN,MN0840100
SHERIFF'S OFFICE,WILKIN,MN0840000
BREEZY POINT PD,CROW WING,MN0180300
BREWSTER PD,NOBLES,MN0530300
BRICELYN PD,FARIBAULT,MN0220600
BROOKLYN CENTER PD,HENNEPIN,MN0270200
BROOKLYN PARK PD,HENNEPIN,MN0270300
BROOTEN PD,STEARNS,MN0730900
BROWERVILLE PD,TODD,MN0770400
BROWNS VALLEY PD,TRAVERSE,MN0780100
BROWNSDALE PD,MOWER,MN0500300
BROWNTON PD,MCLEOD,MN0430300
BUFFALO LAKE PD,RENVILLE,MN0650600
LAKESIDE PD,RENVILLE,MN0651200
BUFFALO PD,WRIGHT,MN0860100
SHERIFF'S OFFICE,WRIGHT,MN0860000
BUHL PD,ST. LOUIS,MN0690400
BUTTERFIELD PD,WATONWAN,MN0830300
BYRON PD,OLMSTED,MN0550300
CALEDONIA PD,HOUSTON,MN0280100
SHERIFF'S OFFICE,HOUSTON,MN0280000
CAMBRIDGE PD,ISANTI,MN0300100
SHERIFF'S OFFICE,ISANTI,MN0300000
CAMPBELL PD,WILKIN,MN0840200
CANBY PD,YELLOW MEDICINE,MN0870100
CANNON FALLS PD,GOODHUE,MN0250100
CANTON PD,FILLMORE,MN0230700
CARLOS PD,DOUGLAS,MN0210400
SHERIFF'S OFFICE,CARLTON,MN0090000
CASS LAKE PD,CASS,MN0110100
CENTER CITY PD,CHISAGO,MN0130200
SHERIFF'S OFFICE,CHISAGO,MN0130000
CHAMPLIN PD,HENNEPIN,MN0272900
CHANHASSEN PD,CARVER,MN0100100
CHASKA PD,CARVER,MN0100200
SHERIFF'S OFFICE,CARVER,MN0100000
CHATFIELD PD,FILLMORE,MN0230100
CHISAGO PD,CHISAGO,MN0130300
CHISHOLM PD,ST. LOUIS,MN0690500
CHOKIO PD,STEVENS,MN0750300
CIRCLE PINES-LEXINGTON PD,ANOKA,MN0020300
LINO LAKES PD,ANOKA,MN0020700
CLARA CITY PD,CHIPPEWA,MN0120100
CLAREMONT PD,DODGE,MN0200400
CLARISSA PD,TODD,MN0770700
CLARKFIELD PD,YELLOW MEDICINE,MN0870300
CLARKS GROVE PD,FREEBORN,MN0240300
CLEARBROOK PD,CLEARWATER,MN0150200
CLEARWATER PD,WRIGHT,MN0860700
CLOQUET PD,CARLTON,MN0090100
COKATO PD,WRIGHT,MN0860200
COLD SPRING PD,STEARNS,MN0730100
COLERAINE PD,ITASCA,MN0310200
COLUMBIA HEIGHTS PD,ANOKA,MN0020400
COMFREY PD,BROWN,MN0080400
COON RAPIDS PD,ANOKA,MN0020500
CORCORAN PD,HENNEPIN,MN0273100
COTTAGE GROVE PD,WASHINGTON,MN0820700
COURTLAND PD,NICOLLET,MN0520300
CROOKSTON PD,POLK,MN0600100
SHERIFF'S OFFICE,POLK,MN0600000
CROSBY PD,CROW WING,MN0180200
CROSSLAKE PD,CROW WING,MN0180400
CRYSTAL PD,HENNEPIN,MN0270400
CURRIE PD,MURRAY,MN0510400
DANUBE PD,RENVILLE,MN0650700
DARFUR PD,WATONWAN,MN0830400
DAWSON PD,LAC QUI PARLE,MN0370100
DAYTON PD,HENNEPIN,MN0273200
DEEPHAVEN PD,HENNEPIN,MN0270500
DEER RIVER PD,ITASCA,MN0310700
DEERWOOD PD,CROW WING,MN0180600
DELANO PD,WRIGHT,MN0860300
DELAVAN PD,FARIBAULT,MN0220700
DELLWOOD PD,WASHINGTON,MN0821600
DENNISON PD,GOODHUE,MN0250500
DEPARTMENT OF PUBLIC SAFE,SCOTT,MN0700800
DEPT OF PUBLIC SAFETY,DAKOTA,MN0190100
DETROIT LAKES PD,BECKER,MN0030100
SHERIFF'S OFFICE,BECKER,MN0030000
HIGHWAY PATROL,N/A,MNMHP0800
DEXTER PD,MOWER,MN0500400
DILWORTH PD,CLAY,MN0140200
DODGE CENTER PD,DODGE,MN0200100
DONALDSON PD,KITTSON,MN0350200
DONNELLY PD,STEVENS,MN0750400
DOVER PD,OLMSTED,MN0550400
DULUTH PD,ST. LOUIS,MN0690600
HIGHWAY PATROL,N/A,MNMHP1100
SHERIFF'S OFFICE,ST. LOUIS,MN0690000
DUMONT PD,TRAVERSE,MN0780300
DUNDAS PD,RICE,MN0660300
EAGLE BEND PD,TODD,MN0770500
EAGLE LAKE PD,BLUE EARTH,MN0070400
EAST BETHEL PD,ANOKA,MN0020900
EAST GRAND FORKS PD,POLK,MN0600200
EASTON PD,FARIBAULT,MN0220800
ECHO PD,YELLOW MEDICINE,MN0870400
EDEN PRAIRIE PD,HENNEPIN,MN0272600
EDEN VALLEY PD,MEEKER,MN0470200
EDINA PD,HENNEPIN,MN0270600
EGAN PD,DAKOTA,MN0190800
ELBOW LAKE PD,GRANT,MN0260100
SHERIFF'S OFFICE,GRANT,MN0260000
ELGIN PD,WABASHA,MN0790400
ELK RIVER PD,SHERBURNE,MN0710200
SHERIFF'S OFFICE,SHERBURNE,MN0710000
ELLENDALE PD,STEELE,MN0740300
ELLSWORTH PD,NOBLES,MN0530400
ELMORE PD,FARIBAULT,MN0220200
ELY PD,ST. LOUIS,MN0690700
ELYSIAN PD,LE SUEUR,MN0400500
EMILY PD,CROW WING,MN0180700
ERSKINE PD,POLK,MN0600500
EVANSVILLE PD,DOUGLAS,MN0210500
EVELETH PD,ST. LOUIS,MN0690800
FAIRFAX PD,RENVILLE,MN0650100
FAIRMONT PD,MARTIN,MN0460100
SHERIFF'S OFFICE,MARTIN,MN0460000
FALCON HEIGHTS PD,RAMSEY,MN0620200
FARIBAULT PD,RICE,MN0660100
SHERIFF'S OFFICE,RICE,MN0660000
FARMINGTON PD,DAKOTA,MN0190200
FELTON PD,CLAY,MN0140500
FERGUS FALLS PD,OTTER TAIL,MN0560100
SHERIFF'S OFFICE,OTTER TAIL,MN0560000
FERTILE PD,POLK,MN0600400
FIFTY LAKES POLICE DEPARTMENT,CROW WING,MN0181200
FISHER PD,POLK,MN0600600
FLOODWOOD PD,ST. LOUIS,MN0691500
FOLEY PD,BENTON,MN0050100
SHERIFF'S OFFICE,BENTON,MN0050000
FOREST LAKE PD,WASHINGTON,MN0820200
FOSSTON PD,POLK,MN0600300
FOUNTAIN PD,FILLMORE,MN0230800
FOXHOME PD,WILKIN,MN0840300
FRANKLIN PD,RENVILLE,MN0650800
FRAZEE PD,BECKER,MN0030200
FREEBORN PD,FREEBORN,MN0240400
FREEPORT PD,STEARNS,MN0731300
FRIDLEY PD,ANOKA,MN0020600
FROST PD,FARIBAULT,MN0220900
FULDA PD,MURRAY,MN0510100
GARRISON PD,CROW WING,MN0180800
GAYLORD PD,SIBLEY,MN0720200
SHERIFF'S OFFICE,SIBLEY,MN0720000
GIBBON PD,SIBLEY,MN0720400
GILBERT PD,ST. LOUIS,MN0690900
GLENCOE PD,MCLEOD,MN0430100
SHERIFF'S OFFICE,MCLEOD,MN0430000
GLENWOOD PD,POPE,MN0610100
SHERIFF'S OFFICE,POPE,MN0610000
GLYNDON PD,CLAY,MN0140600
GOLDEN VALLEY DEPARTMENT OF PUBLIC SAFETY,HENNEPIN,MN0270800
HIGHWAY PATROL,N/A,MNMHP0400
GONVICK PD,CLEARWATER,MN0150300
GOOD THUNDER PD,BLUE EARTH,MN0070600
GOODHUE PD,GOODHUE,MN0250600
GOODRIDGE PD,PENNINGTON,MN0570200
GOODVIEW PD,WINONA,MN0850300
GRAND MARAIS PD,COOK,MN0160100
SHERIFF'S OFFICE,COOK,MN0160000
GRAND RAPIDS PD,ITASCA,MN0310300
SHERIFF'S OFFICE,ITASCA,MN0310000
GRANITE FALLS PD,YELLOW MEDICINE,MN0870200
SHERIFF'S OFFICE,YELLOW MEDICINE,MN0870000
GRANT PD,WASHINGTON,MN0821300
GREEN ISLE PD,SIBLEY,MN0720300
GREENBUSH PD,ROSEAU,MN0680400
GREENFIELD PD,HENNEPIN,MN0273300
GREY EAGLE PD,TODD,MN0770600
GROVE CITY PD,YELLOW MEDICINE,MN4703000
HACKENSACK PD,CASS,MN0110300
HALLOCK PD,KITTSON,MN0350100
SHERIFF'S OFFICE,KITTSON,MN0350000
HALSTAD PD,NORMAN,MN0540200
HAM LAKE PD,ANOKA,MN0021000
HANCOCK PD,STEVENS,MN0750500
HANLEY FALLS PD,YELLOW MEDICINE,MN0870500
HANSKA PD,BROWN,MN0080500
HARMONY PD,FILLMORE,MN0230200
HARTLAND PD,FREEBORN,MN0240500
HASTINGS PD,DAKOTA,MN0190300
SHERIFF'S OFFICE,DAKOTA,MN0190000
HAWLEY PD,CLAY,MN0140300
HAYFIELD PD,DODGE,MN0200300
HECTOR PD,RENVILLE,MN0650200
HENDERSON PD,SIBLEY,MN0720500
HENDRICKS PD,LINCOLN,MN0410200
HENNING PD,OTTER TAIL,MN0560600
HERMAN PD,GRANT,MN0260400
HERMANTOWN PD,ST. LOUIS,MN0691700
HERON LAKE PD,JACKSON,MN0320300
HIBBING PD,ST. LOUIS,MN0691000
HIGHWAY PATROL RADIO,N/A,MNMHP0100
HIGHWAY PATROL CAPITOL SECURITY DISTRICT,N/A,MNMHP1300
HIGHWAY PATROL,N/A,MNMHP0700
HIGHWAY PATROL,N/A,MNMHP0800
HIGHWAY PATROL,N/A,MNMHP1100
HIGHWAY PATROL,N/A,MNMHP1400
HIGHWAY PATROL,N/A,MNMHP0500
HIGHWAY PATROL,N/A,MNMHP0400
HIGHWAY PATROL,N/A,MNMHP1200
HIGHWAY PATROL,N/A,MNMHP0300
HIGHWAY PATROL,N/A,MNMHP0200
HIGHWAY PATROL,N/A,MNMHP0600
HIGHWAY PATROL,N/A,MNMHP0900
HIGHWAY PATROL,N/A,MNMHP1000
HILLTOP PD,ANOKA,MN0021400
HINCKLEY PD,PINE,MN0580300
HOFFMAN PD,GRANT,MN0260500
HOKAH PD,HOUSTON,MN0280500
HOPKINS PD,HENNEPIN,MN0270900
HOUSTON PD,HOUSTON,MN0280200
HOWARD LAKE PD,WRIGHT,MN0860400
HOYT LAKES PD,ST. LOUIS,MN0691100
HUGO PD,WASHINGTON,MN0821200
HUTCHINSON PD,MCLEOD,MN0430200
INTERNATIONAL FALLS PD,KOOCHICHING,MN0360100
INVER GROVE HEIGHTS PD,DAKOTA,MN0190900
IONA PD,MURRAY,MN0510500
IRONTON PD,CROW WING,MN0180900
ISANTI PD,ISANTI,MN0300300
JACKSON PD,JACKSON,MN0320100
SHERIFF'S OFFICE,JACKSON,MN0320000
JANESVILLE PD,WASECA,MN0810100
JASPER PD,PIPESTONE,MN0590200
JEFFERS PD,COTTONWOOD,MN0170300
JORDAN PD,SCOTT,MN0700200
KARLSTAD PD,KITTSON,MN0350300
